id,Insult,Comment,tokens
1,0,"""like this if you are a tribe fan""","['``', 'like', 'tribe', 'fan', ""''""]"
2,1,"""you're idiot.......................""","['``', ""'re"", 'idiot', '.......................', ""''""]"
3,1,"""i am a woman babs, and the only ""war on women"" i see is coming from jackazzes like you.  i don't need your protection or your ignorant rhetoric masquerading as representing my best interests.  ""","['``', 'woman', 'babs', ',', '``', 'war', 'women', ""''"", 'see', 'coming', 'jackazzes', 'like', 'you.\\xa0', ""n't"", 'need', 'protection', 'ignorant', 'rhetoric', 'masquerading', 'representing', 'best', 'interests.\\xa0', '``']"
4,1,"""wow & you benefitted so many wins this year from his bat nice stupid""","['``', 'wow', '&', 'benefitted', 'many', 'wins', 'year', 'bat', 'nice', 'stupid', ""''""]"
5,1,"""haha green me red you now loser whos winning now moron""","['``', 'haha', 'green', 'red', 'loser', 'whos', 'winning', 'moron', ""''""]"
6,0,"""
me and god both hate-faggots.

what's the difference between a-fag-and a refrigerator?
refrigerators don't fart when you put the meat in.""","['``', '\\nme', 'god', 'hate-faggots.\\n\\nwhat', ""'s"", 'difference', 'a-fag-and', 'refrigerator', '?', '\\nrefrigerators', ""n't"", 'fart', 'put', 'meat', '.', ""''""]"
7,1,"""oh go kiss the ass of a goat....and you dummycraps insult veterans....even your coward-incompetent-chief.....everyone of you are the enemy....and you'll all fall.....and hard too boy.""","['``', 'oh', 'go', 'kiss', 'ass', 'goat', '....', 'dummycraps', 'insult', 'veterans', '....', 'even', 'coward-incompetent-chief', '.....', 'everyone', 'enemy', '....', ""'ll"", 'fall', '.....', 'hard', 'boy', '.', ""''""]"
8,0,"""not a chance kid, you're wrong.""","['``', 'chance', 'kid', ',', ""'re"", 'wrong', '.', ""''""]"
9,0,"""on some real shit fuck live jasmin!!!""","['``', 'real', 'shit', 'fuck', 'live', 'jasmin', '!', '!', '!', ""''""]"
10,1,"""ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it.""","['``', 'ok', 'hell', 'released', '?', 'copy', 'articles', 'pther', 'anyone', 'fucking', 'search', 'tell', 'us', 'fuck', 'released', '?', 'fuck', '.', ""''""]"
11,1,""" @crankyvince has found our slice of the internets!  fuck you.""","['``', '\\xa0', '@', 'crankyvince', 'found', 'slice', 'internets', '!', '\\xa0', 'fuck', '.', ""''""]"
12,1,""" hahahahah, you are a delusional moron.""","['``', '\\xa0hahahahah', ',', 'delusional', 'moron', '.', ""''""]"
13,0,"""there you are, been missing you.  how are you doing, feeling better?""","['``', ',', 'missing', '.', ',', 'feeling', 'better', '?', ""''""]"
14,1,"""wenttoau

he made a prediction just like you, but he doesn't know anything about football. that makes sense. pffft! you like to dish it out about bama, but let someone say something about auburn and you start crying, ""idiots"". ""","['``', 'wenttoau\\n\\nhe', 'made', 'prediction', 'like', ',', ""n't"", 'know', 'anything', 'football', '.', 'makes', 'sense', '.', 'pffft', '!', 'like', 'dish', 'bama', ',', 'let', 'someone', 'say', 'something', 'auburn', 'start', 'crying', ',', '``', 'idiots', ""''"", '.', '``']"
15,1,"""kathy lee....shut your pie hole...and whats with that face and fish lips....dumb arse""","['``', 'kathy', 'lee', '....', 'shut', 'pie', 'hole', '...', 'whats', 'face', 'fish', 'lips', '....', 'dumb', 'arse', ""''""]"
16,1,"""you're a crank.""","['``', ""'re"", 'crank', '.', ""''""]"
17,0,"""come on oppa you're a man. xd""","['``', 'come', 'oppa', ""'re"", 'man', '.', 'xd', ""''""]"
18,0,"""i like your enthusiasm and initiative. you're a real go getter.""","['``', 'like', 'enthusiasm', 'initiative', '.', ""'re"", 'real', 'go', 'getter', '.', ""''""]"
19,1,"""juggalo you suck at trolling ""","['``', 'juggalo', 'suck', 'trolling', '``']"
20,0,"""you seem a very eloquent, grounded and educated person. ""","['``', 'seem', 'eloquent', ',', 'grounded', 'educated', 'person.\\xa0', ""''""]"
21,0,"""its a wild wild world, keep your dirty fingers off of my human rights.""","['``', 'wild', 'wild', 'world', ',', 'keep', 'dirty', 'fingers', 'human', 'rights', '.', ""''""]"
22,0,"""are you about to recapture your swag?""","['``', 'recapture', 'swag', '?', ""''""]"
23,1,"""no shit.. you must be a genius ""","['``', 'shit', '..', 'must', 'a\\xa0genius\\xa0', ""''""]"
24,0,"""não tenho a mínima paciência pra esse tipo de babaca que acha que se existe um problema grave acontecendo ninguém pode nem ligar a tv pra ver uma novela. tem que viver em função de mensação, corrupção, greve, blablabla. saco.""","['``', 'n\\xe3o', 'tenho', 'm\\xednima', 'paci\\xeancia', 'pra', 'esse', 'tipo', 'de', 'babaca', 'que', 'acha', 'que', 'se', 'existe', 'um', 'problema', 'grave', 'acontecendo', 'ningu\\xe9m', 'pode', 'nem', 'ligar', 'tv', 'pra', 'ver', 'uma', 'novela', '.', 'tem', 'que', 'viver', 'em', 'fun\\xe7\\xe3o', 'de', 'mensa\\xe7\\xe3o', ',', 'corrup\\xe7\\xe3o', ',', 'greve', ',', 'blablabla', '.', 'saco', '.', ""''""]"
25,1,"""are you on 'roids by chance?""","['``', ""'roids"", 'chance', '?', ""''""]"
26,1,""" you are a disgusting human being""","['``', '\\xa0you', 'disgusting', 'human', ""''""]"
27,0,"""you are well versed when it may be on.  must be one of your favs if you know those details.""","['``', 'well', 'versed', 'may', '.', '\\xa0must', 'one', 'favs', 'know', 'details', '.', ""''""]"
28,0,"""we?  you and the mouse in your pocket?""","['``', '?', 'mouse', 'pocket', '?', ""''""]"
29,0,"""glad you realize this :p

kidding. ""","['``', 'glad', 'realize', ':', 'p\\n\\nkidding.', '``']"
30,0,"""damn! you would rock this so hard!""","['``', 'damn', '!', 'would', 'rock', 'hard', '!', ""''""]"
